f0,f1,f2,f3,f4,f5,f6
20190627.0,24,24,24,24,24,24
20190628.0,24,24,24,24,24,24
20190629.0,24,24,24,24,24,24
20190630.0,24,24,24,24,24,24
20190701.0,24,24,24,24,24,24
20190702.0,24,24,24,24,24,24
20190703.0,24,24,24,24,24,24
20190704.0,24,24,24,24,24,24
20190705.0,24,24,24,24,24,24
20190706.0,24,24,24,24,24,24
20190707.0,24,24,24,24,24,24
20190708.0,24,24,24,24,24,24
20190709.0,24,24,24,24,24,24
20190710.0,24,24,24,24,24,24
20190711.0,24,24,24,24,24,24
20190712.0,24,24,24,24,24,24
20190713.0,24,24,24,24,24,24
20190714.0,24,24,24,24,24,24
20190715.0,24,24,24,24,24,24
20190716.0,24,24,24,24,24,24
20190717.0,24,24,24,24,24,24
20190718.0,24,24,24,24,24,24
20190719.0,24,24,24,24,24,24
20190720.0,24,24,24,24,24,24
20190721.0,24,24,24,24,24,24
20190722.0,24,24,24,24,24,24
20190723.0,24,24,24,24,24,24
20190724.0,24,24,24,24,24,24
20190725.0,24,24,24,24,24,24
20190726.0,24,24,24,24,24,24
20190727.0,24,24,24,24,24,24
20190728.0,24,24,24,24,24,24
20190729.0,24,24,24,24,24,24
20190730.0,24,24,24,24,24,24
20190731.0,24,24,24,24,24,24
20190801.0,24,24,24,24,24,24
20190802.0,24,24,24,24,24,24
20190803.0,24,24,24,24,24,24
20190804.0,24,24,24,24,24,24
20190805.0,24,24,24,24,24,24
20190806.0,24,24,24,24,24,24
20190807.0,24,24,24,24,24,24
20190808.0,24,24,24,24,24,24
20190809.0,24,24,24,24,24,24
20190810.0,24,24,24,24,24,24
20190811.0,24,24,24,24,24,24
20190812.0,24,24,24,24,24,24
20190813.0,24,24,24,24,24,24
20190814.0,24,24,24,24,24,24
20190815.0,24,24,24,24,24,24
20190816.0,24,24,24,24,24,24
20190817.0,24,24,24,24,24,24
20190818.0,24,24,24,24,24,24
20190819.0,24,24,24,24,24,24
20190820.0,24,24,24,24,24,24
20190821.0,24,24,24,24,24,24
20190822.0,24,24,24,24,24,24
20190823.0,24,24,24,24,24,24
20190824.0,24,24,24,24,24,24
20190825.0,24,24,24,24,24,24
20190826.0,24,24,24,24,24,24
20190827.0,24,24,24,24,24,24
20190828.0,24,24,24,24,24,24
20190829.0,24,24,24,24,24,24
20190830.0,24,24,24,24,24,24
20190831.0,24,24,24,24,24,24
20190901.0,24,24,24,24,24,24
20190902.0,24,24,24,24,24,24
20190903.0,24,24,24,24,24,24
20190904.0,24,24,24,24,24,24
20190905.0,24,24,24,24,24,24
20190906.0,24,24,24,24,24,24
20190907.0,24,24,24,24,24,24
20190908.0,24,24,24,24,24,24
20190909.0,24,24,24,24,24,24
20190910.0,24,24,24,24,24,24
20190911.0,24,24,24,24,24,24
20190912.0,24,24,24,24,24,24
20190913.0,24,24,24,24,24,24
20190914.0,24,24,24,24,24,24
20190915.0,24,24,24,24,24,24
20190916.0,24,24,24,24,24,24
20190917.0,24,24,24,24,24,24
20190918.0,24,24,24,24,24,24
20190919.0,24,24,24,24,24,24
20190920.0,24,24,24,24,24,24
20190921.0,24,24,24,24,24,24
20190922.0,24,24,24,24,24,24
20190923.0,24,24,24,24,24,24
20190924.0,24,24,24,24,24,24
20190925.0,24,24,24,24,24,24
20190926.0,24,24,24,24,24,24
20190927.0,24,24,24,24,24,24
20190928.0,24,24,24,24,24,24
20190929.0,24,24,24,24,24,24
20190930.0,24,24,24,24,24,24
20191001.0,24,24,24,24,24,24
20191002.0,24,24,24,24,24,24
20191003.0,24,24,24,24,24,24
20191004.0,24,24,24,24,24,24
20191005.0,24,24,24,24,24,24
20191006.0,24,24,24,24,24,24
20191007.0,24,24,24,24,24,24
20191008.0,24,24,24,24,24,24
20191009.0,24,24,24,24,24,24
20191010.0,24,24,24,24,24,24
20191011.0,24,24,24,24,24,24
20191012.0,24,24,24,24,24,24
20191013.0,24,24,24,24,24,24
20191014.0,24,24,24,24,24,24
20191015.0,24,24,24,24,24,24
20191016.0,24,24,24,24,24,24
20191017.0,24,24,24,24,24,24
20191018.0,24,24,24,24,24,24
20191019.0,24,24,24,24,24,24
20191020.0,24,24,24,24,24,24
20191021.0,24,24,24,24,24,24
20191022.0,24,24,24,24,24,24
20191023.0,24,24,24,24,24,24
20191024.0,24,24,24,24,24,24
20191025.0,24,24,24,24,24,24
20191026.0,24,24,24,24,24,24
20191027.0,24,24,24,24,24,24
20191028.0,24,24,24,24,24,24
20191029.0,24,24,24,24,24,24
20191030.0,24,24,24,24,24,24
20191031.0,24,24,24,24,24,24
20191101.0,24,24,24,24,24,24
20191102.0,24,24,24,24,24,24
20191103.0,24,24,24,24,24,24
20191104.0,24,24,24,24,24,24
20191105.0,24,24,24,24,24,24
20191106.0,24,24,24,24,24,24
20191107.0,24,24,24,24,24,24
20191108.0,24,24,24,24,24,24
20191109.0,24,24,24,24,24,24
20191110.0,24,24,24,24,24,24
20191111.0,24,24,24,24,24,24
20191112.0,24,24,24,24,24,24
20191113.0,24,24,24,24,24,24
20191114.0,24,24,24,24,24,24
20191115.0,24,24,24,24,24,24
20191116.0,24,24,24,24,24,24
20191117.0,24,24,24,24,24,24
20191118.0,24,24,24,24,24,24
20191119.0,24,24,24,24,24,24
20191120.0,24,24,24,24,24,24
20191121.0,24,24,24,24,24,24
20191122.0,24,24,24,24,24,24
20191123.0,24,24,24,24,24,24
20191124.0,24,24,24,24,24,24
20191125.0,24,24,24,24,24,24
20191126.0,24,24,24,24,24,24
20191127.0,24,24,24,24,24,24
20191128.0,24,24,24,24,24,24
20191129.0,24,24,24,24,24,24
20191130.0,24,24,24,24,24,24
20191201.0,24,24,24,24,24,24
20191202.0,24,24,24,24,24,24
20191203.0,24,24,24,24,24,24
20191204.0,24,24,24,24,24,24
20191205.0,24,24,24,24,24,24
20191206.0,24,24,24,24,24,24
20191207.0,24,24,24,24,24,24
20191208.0,24,24,24,24,24,24
20191209.0,24,24,24,24,24,24
20191210.0,24,24,24,24,24,24
20191211.0,24,24,24,24,24,24
20191212.0,24,24,24,24,24,24
20191213.0,24,24,24,24,24,24
20191214.0,24,24,24,24,24,24
20191215.0,24,24,24,24,24,24
20191216.0,24,24,24,24,24,24
20191217.0,24,24,24,24,24,24
20191218.0,24,24,24,24,24,24
20191219.0,24,24,24,24,24,24
20191220.0,24,24,24,24,24,24
20191221.0,24,24,24,24,24,24
20191222.0,24,24,24,24,24,24
20191223.0,24,24,24,24,24,24
20191224.0,24,24,24,24,24,24
20191225.0,24,24,24,24,24,24
20191226.0,24,24,24,24,24,24
20191227.0,24,24,24,24,24,24
20191228.0,24,24,24,24,24,24
20191229.0,24,24,24,24,24,24
20191230.0,24,24,24,24,24,24
20191231.0,24,24,24,24,24,24
20200101.0,24,24,24,24,24,24
20200102.0,24,24,24,24,24,24
20200103.0,24,24,24,24,24,24
20200104.0,24,24,24,24,24,24
20200105.0,24,24,24,24,24,24
20200106.0,24,24,24,24,24,24
20200107.0,24,24,24,24,24,24
20200108.0,24,24,24,24,24,24
20200109.0,24,24,24,24,24,24
20200110.0,24,24,24,24,24,24
20200111.0,24,24,24,24,24,24
20200112.0,24,24,24,24,24,24
20200113.0,24,24,24,24,24,24
20200114.0,24,24,24,24,24,24
20200115.0,24,24,24,24,24,24
20200116.0,24,24,24,24,24,24
20200117.0,24,24,24,24,24,24
20200118.0,24,24,24,24,24,24
20200119.0,24,24,24,24,24,24
20200120.0,24,24,24,24,24,24
20200121.0,24,24,24,24,24,24
20200122.0,24,24,24,24,24,24
20200123.0,24,24,24,24,24,24
20200124.0,24,24,24,24,24,24
20200125.0,24,24,24,24,24,24
20200126.0,24,24,24,24,24,24
20200127.0,24,24,24,24,24,24
20200128.0,24,24,24,24,24,24
20200129.0,24,24,24,24,24,24
20200130.0,24,24,24,24,24,24
20200131.0,24,24,24,24,24,24
20200201.0,24,24,24,24,24,24
20200202.0,24,24,24,24,24,24
20200203.0,24,24,24,24,24,24
20200204.0,24,24,24,24,24,24
20200205.0,24,24,24,24,24,24
20200206.0,24,24,24,24,24,24
20200207.0,24,24,24,24,24,24
20200208.0,24,24,24,24,24,24
20200209.0,24,24,24,24,24,24
20200210.0,24,24,24,24,24,24
20200211.0,24,24,24,24,24,24
20200212.0,24,24,24,24,24,24
